zipcode,zipcode_type,city,county,state
02801,PO Box,Adamsville,Newport,RI
02802,PO Box,Albion,Providence,RI
02804,Standard,Ashaway,Washington,RI
02806,Standard,Barrington,Bristol,RI
02807,PO Box,Block Island,Washington,RI
02807,PO Box,New Shoreham,Washington,RI
02808,Standard,Bradford,Washington,RI
02809,Standard,Bristol,Bristol,RI
02812,Standard,Carolina,Washington,RI
02812,Standard,Richmond,Washington,RI
02813,Standard,Charlestown,Washington,RI
02814,Standard,Chepachet,Providence,RI
02815,Standard,Clayville,Providence,RI
02816,Standard,Coventry,Kent,RI
02817,Standard,West Greenwich,Kent,RI
02818,Standard,East Greenwich,Kent,RI
02822,Standard,Exeter,Washington,RI
02822,Standard,Esocheag,Washington,RI
02823,PO Box,Fiskeville,Providence,RI
02824,PO Box,Forestdale,Providence,RI
02825,Standard,Foster,Providence,RI
02826,PO Box,Glendale,Providence,RI
02827,Standard,Greene,Kent,RI
02827,Standard,Coventry,Kent,RI
02828,Standard,Greenville,Providence,RI
02829,PO Box,Harmony,Providence,RI
02830,Standard,Harrisville,Providence,RI
02830,Standard,Burrillville,Providence,RI
02831,Standard,Hope,Providence,RI
02832,Standard,Hope Valley,Washington,RI
02832,Standard,Richmond,Washington,RI
02833,Standard,Hopkinton,Washington,RI
02835,Standard,Jamestown,Newport,RI
02836,Standard,Kenyon,Washington,RI
02836,Standard,Richmond,Washington,RI
02837,Standard,Little Compton,Newport,RI
02837,Standard,L Compton,Newport,RI
02838,Standard,Manville,Providence,RI
02839,Standard,Mapleville,Providence,RI
02840,Standard,Newport,Newport,RI
02841,Standard,Newport,Newport,RI
02842,Standard,Middletown,Newport,RI
02852,Standard,North Kingstown,Washington,RI
02854,Standard,North Kingstown,Washington,RI
02857,Standard,North Scituate,Providence,RI
02857,Standard,Scituate,Providence,RI
02858,Standard,Oakland,Providence,RI
02859,Standard,Pascoag,Providence,RI
02860,Standard,Pawtucket,Providence,RI
02861,Standard,Pawtucket,Providence,RI
02862,PO Box,Pawtucket,Providence,RI
02863,Standard,Central Falls,Providence,RI
02864,Standard,Cumberland,Providence,RI
02865,Standard,Lincoln,Providence,RI
02871,Standard,Portsmouth,Newport,RI
02872,PO Box,Prudence Island,Newport,RI
02872,PO Box,Prudence Isl,Newport,RI
02873,PO Box,Rockville,Washington,RI
02874,Standard,Saunderstown,Washington,RI
02875,Standard,Shannock,Washington,RI
02875,Standard,Richmond,Washington,RI
02876,Standard,Slatersville,Providence,RI
02877,Standard,Slocum,Washington,RI
02878,Standard,Tiverton,Newport,RI
02879,Standard,Wakefield,Washington,RI
02879,Standard,Narragansett,Washington,RI
02879,Standard,Peace Dale,Washington,RI
02879,Standard,South Kingstown,Washington,RI
02880,PO Box,Wakefield,Washington,RI
02881,Standard,Kingston,Washington,RI
02882,Standard,Narragansett,Washington,RI
02882,Standard,Point Judith,Washington,RI
02883,PO Box,Peace Dale,Washington,RI
02883,PO Box,South Kingstown,Washington,RI
02885,Standard,Warren,Bristol,RI
02886,Standard,Warwick,Kent,RI
02887,PO Box,Warwick,Kent,RI
02888,Standard,Warwick,Kent,RI
02889,Standard,Warwick,Kent,RI
02891,Standard,Westerly,Washington,RI
02892,Standard,West Kingston,Washington,RI
02892,Standard,Richmond,Washington,RI
02893,Standard,West Warwick,Kent,RI
02894,Standard,Wood River Junction,Washington,RI
02894,Standard,Wood River Jt,Washington,RI
02895,Standard,Woonsocket,Providence,RI
02896,Standard,North Smithfield,Providence,RI
02898,Standard,Wyoming,Washington,RI
02898,Standard,Richmond,Washington,RI
02901,PO Box,Providence,Providence,RI
02902,Unique,Providence,Providence,RI
02903,Standard,Providence,Providence,RI
02904,Standard,Providence,Providence,RI
02904,Standard,North Providence,Providence,RI
02905,Standard,Providence,Providence,RI
02905,Standard,Cranston,Providence,RI
02906,Standard,Providence,Providence,RI
02907,Standard,Providence,Providence,RI
02907,Standard,Cranston,Providence,RI
02908,Standard,Providence,Providence,RI
02908,Standard,North Providence,Providence,RI
02909,Standard,Providence,Providence,RI
02910,Standard,Cranston,Providence,RI
02910,Standard,Providence,Providence,RI
02911,Standard,North Providence,Providence,RI
02911,Standard,Providence,Providence,RI
02912,Unique,Providence,Providence,RI
02912,Unique,Brown Station,Providence,RI
02914,Standard,East Providence,Providence,RI
02915,Standard,Riverside,Providence,RI
02916,Standard,Rumford,Providence,RI
02917,Standard,Smithfield,Providence,RI
02918,Unique,Providence,Providence,RI
02918,Unique,Friar Station,Providence,RI
02919,Standard,Johnston,Providence,RI
02919,Standard,Providence,Providence,RI
02920,Standard,Cranston,Providence,RI
02921,Standard,Cranston,Providence,RI
02940,PO Box,Providence,Providence,RI
